"Heat Exchanger (Dual Stream) 1 Monitor: Iteration","Heat Exchanger (Dual Stream) 1 Monitor: Heat Exchanger (Dual Stream) 1 Monitor (W)"
1.0,0.0
2.0,211.09429442966177
3.0,758.624620198091
4.0,1158.1622868235493
5.0,862.7078118778188
6.0,0.0
7.0,-1183.24345560537
8.0,-2538.220448714871
9.0,-4170.112545786523
10.0,-5879.106267092109
11.0,6073.920668771636
12.0,-21315.675159260245
13.0,-20226.01700682505
14.0,-23272.94837693917
15.0,-26863.088661056634
16.0,-30205.114497367806
17.0,-33514.89071454702
18.0,-36728.161228042365
19.0,-40255.08027736125
20.0,-44165.188151677896
21.0,-48719.79771289928
22.0,-52948.222409440015
23.0,-56802.432173994486
24.0,-60418.70032131085
25.0,-63813.64272669486
26.0,-67168.35131965115
27.0,-70749.88759422765
28.0,-74508.73247195003
29.0,-78248.62706550685
30.0,-81661.97246064254
31.0,-84769.50034297028
32.0,-87568.94901465086
33.0,-90071.85205895605
34.0,-92258.50447644523
35.0,-94166.8337368345
36.0,-95921.71627339849
37.0,-97607.86888783854
38.0,-99275.1285721245
39.0,-100953.71350637006
40.0,-102611.64620995964
41.0,-104212.98408597597
42.0,-105739.77444704706
43.0,-107153.74713631428
44.0,-108434.21932479605
45.0,-109574.28452169665
46.0,-110600.35804310004
47.0,-111519.64106294546
48.0,-112333.29671302103
49.0,-113062.34098856743
50.0,-113687.98319739613
51.0,-114213.7641101573
52.0,-114651.50256786248
53.0,-115025.43073702535
54.0,-115340.72535256264
55.0,-115609.812425917
56.0,-115851.2234525526
57.0,-116080.3243654021
58.0,-116301.25540163474
59.0,-116515.74084184707
60.0,-116716.02822304642
61.0,-116898.00509754551
62.0,-117054.77791664777
63.0,-117187.23815066762
64.0,-117294.83356486994
65.0,-117383.03298680509
66.0,-117455.08785000611
67.0,-117514.97172446782
68.0,-117563.15972817955
69.0,-117607.17479190191
70.0,-117647.62544181167
71.0,-117682.613339523
72.0,-117714.2105802958
73.0,-117744.69186722906
74.0,-117772.25837948918
75.0,-117797.09184736936
76.0,-117815.3980643932
77.0,-117830.31238896633
78.0,-117840.42665986533
79.0,-117847.90018196857
80.0,-117849.78629257792
81.0,-117847.26954263766
82.0,-117840.81561658223
83.0,-117830.873473163
84.0,-117821.60023820422
85.0,-117813.11754271116
86.0,-117806.59651719042
87.0,-117801.09727287554
88.0,-117796.66455982173
89.0,-117793.45114139287
90.0,-117791.69779185044
91.0,-117791.28777123033
92.0,-117791.92457226933
93.0,-117793.85699715363
94.0,-117796.51598451802
95.0,-117798.55727518241
96.0,-117800.57149830715
97.0,-117802.8342520356
98.0,-117804.94576732547
99.0,-117806.38579860501
100.0,-117807.36940708279
101.0,-117808.27451364274
102.0,-117809.10344892376
103.0,-117809.55178766279
104.0,-117809.67255165843
105.0,-117810.1979323996
106.0,-117811.86884338906
107.0,-117814.72148986434
108.0,-117819.57925374818
109.0,-117827.06591508068
110.0,-117836.78079396024
111.0,-117849.5369749534
112.0,-117864.15543168204
113.0,-117881.34086909506
114.0,-117899.72754275946
115.0,-117916.99532685854
116.0,-117933.0513489364
117.0,-117948.07305912104
118.0,-117962.48712909222
119.0,-117975.62021195756
120.0,-117987.11627020335
121.0,-117996.3652812585
122.0,-118002.69845968498
123.0,-118004.21928308273
124.0,-118001.26948691001
125.0,-117994.87113335189
126.0,-117986.67499759013
127.0,-117977.5509866637
128.0,-117967.35705287012
129.0,-117956.90304535208
130.0,-117946.46144019696
131.0,-117936.66106126609
132.0,-117928.36278642093
133.0,-117921.57196327057
134.0,-117916.46956622775
135.0,-117913.03240561446
136.0,-117911.2583570394
137.0,-117910.9998141508
138.0,-117912.77464555282
139.0,-117917.11745351451
140.0,-117925.07446557007
141.0,-117935.48150924567
142.0,-117947.46114215044
143.0,-117960.86104546295
144.0,-117974.50962883774
145.0,-117985.94699085326
146.0,-117992.67936221347
147.0,-117995.3534444907
148.0,-117994.73531519093
149.0,-117991.24748868044
150.0,-117986.01391499663
151.0,-117978.59495110813
152.0,-117970.28896663946
153.0,-117961.4092413543
154.0,-117952.43545785427
155.0,-117943.93332845563
156.0,-117936.20124962575
157.0,-117929.14535676481
158.0,-117924.4415787621
159.0,-117922.5043439545
160.0,-117921.96276128147
161.0,-117922.79666261966
162.0,-117927.61907341161
163.0,-117935.19056746329
164.0,-117942.61056969824
165.0,-117949.60500178376
166.0,-117955.89763039631
167.0,-117960.40993847109
168.0,-117962.64406455783
169.0,-117962.63717422888
170.0,-117961.11944134095
171.0,-117958.09947470148
172.0,-117953.01860885283
173.0,-117945.80137654452
174.0,-117936.84801310142
175.0,-117928.01033560498
176.0,-117920.0908622355
177.0,-117913.04309493373
178.0,-117907.53011090423
179.0,-117903.45958543688
180.0,-117900.8059551421
181.0,-117899.09651441139
182.0,-117898.36953286795
183.0,-117898.35515412566
184.0,-117898.4845795077
185.0,-117898.58707766503
186.0,-117898.75587828853
187.0,-117898.78832466908
188.0,-117897.27630889515
189.0,-117893.32207178691
190.0,-117888.65694499051
191.0,-117882.85301565925
192.0,-117874.19344102497
193.0,-117863.52929082516
194.0,-117851.24931474782
195.0,-117838.26849312443
196.0,-117826.66468740435
197.0,-117816.56393686598
198.0,-117807.72514932469
199.0,-117800.69456945424
200.0,-117795.932587516
