"Air temperature Out Monitor: Iteration","Air temperature Out Monitor: Air temperature Out Monitor (K)","Coolant Temperature Out Monitor: Iteration","Coolant Temperature Out Monitor: Coolant Temperature Out Monitor (K)"
1.0,300.00000000000017,1.0,300.0
2.0,300.00019115616567,2.0,300.1873765422714
3.0,300.0018025893285,3.0,300.8087087225828
4.0,300.0021022349012,4.0,301.8830756477057
5.0,300.00566852533353,5.0,303.8673059059788
6.0,300.01294184571174,6.0,306.5135137502122
7.0,300.02600240963653,7.0,309.0656224372505
8.0,300.0479445842045,8.0,310.9124629120618
9.0,300.08452749565737,9.0,311.9696785744431
10.0,300.1455403962369,10.0,312.5112011837976
11.0,300.2437753335732,11.0,312.79965478691855
12.0,300.3783739057804,12.0,312.16448572900106
13.0,300.57957892247316,13.0,311.8892907623473
14.0,300.9066733455971,14.0,312.12374035240265
15.0,301.4170359875487,15.0,312.74760063102474
16.0,302.1465616707744,16.0,313.59500236801176
17.0,303.08607872137094,17.0,314.40152477211484
18.0,304.2045784373429,18.0,315.2172109425135
19.0,305.4560947098058,19.0,316.02501985075247
20.0,306.7917878687584,20.0,316.89291264422184
21.0,308.17360175404946,21.0,317.8809705156305
22.0,309.58341055437205,22.0,319.04917062242066
23.0,311.01454478357135,23.0,320.395846473538
24.0,312.46574787567596,24.0,321.8909208392358
25.0,313.93715633540467,25.0,323.4835556225114
26.0,315.4191276150543,26.0,325.1300023599286
27.0,316.90211867752004,27.0,326.7750996498597
28.0,318.3756878444713,28.0,328.39302717769067
29.0,319.834408021032,29.0,329.98198978302827
30.0,321.2786538594845,30.0,331.4845147952561
31.0,322.71746882367785,31.0,332.84584257532526
32.0,324.1674495548334,32.0,334.0142681305908
33.0,325.6531686177641,33.0,334.97264070727334
34.0,327.19688363638573,34.0,335.68907136466896
35.0,328.82082786742444,35.0,336.1829788288115
36.0,330.53607067497074,36.0,336.4966272735064
37.0,332.34215309267006,37.0,336.6830189250441
38.0,334.22705295527913,38.0,336.7948616092576
39.0,336.1658015746868,39.0,336.8724614747886
40.0,338.1300178567425,40.0,336.9619855316513
41.0,340.08577220524825,41.0,337.0904986371509
42.0,342.0031885235079,42.0,337.2780292767213
43.0,343.8568978161886,43.0,337.53714175853406
44.0,345.62562804462334,44.0,337.8665651981692
45.0,347.2946761445489,45.0,338.26641418422986
46.0,348.85564538844204,46.0,338.72412410893253
47.0,350.3048024828888,47.0,339.22549324633354
48.0,351.6424512554544,48.0,339.7594971163547
49.0,352.87325735322884,49.0,340.3094268524634
50.0,354.00030377075626,50.0,340.852656574276
51.0,355.02959262511837,51.0,341.3716954811561
52.0,355.9677049695288,52.0,341.8488271655234
53.0,356.8197145148778,53.0,342.2702868295227
54.0,357.5912543757331,54.0,342.6235598929667
55.0,358.2886431866292,55.0,342.90446702098143
56.0,358.9180655066336,56.0,343.1119994271747
57.0,359.4859143370672,57.0,343.2500566762532
58.0,359.99798088517406,58.0,343.32583307513
59.0,360.4597191870124,59.0,343.3479634780728
60.0,360.87681559780316,60.0,343.32891905903983
61.0,361.25356359554917,61.0,343.278021117548
62.0,361.59469895976275,62.0,343.20730485510825
63.0,361.9035062004759,63.0,343.1252629059292
64.0,362.18350339899956,64.0,343.0396663715829
65.0,362.43787358236585,65.0,342.9585056005708
66.0,362.66871419809036,66.0,342.88887226882474
67.0,362.8778402117359,67.0,342.833242227178
